iter	Passed	Remaining
0	0	725
1	1	646
2	1	620
3	2	601
4	2	591
5	3	589
6	4	586
7	4	589
8	5	588
9	5	583
10	6	584
11	7	580
12	7	579
13	8	586
14	8	583
15	9	578
16	10	578
17	10	583
18	11	582
19	11	580
20	12	577
21	13	580
22	13	579
23	14	578
24	14	580
25	15	577
26	15	574
27	16	572
28	17	572
29	17	569
30	18	569
31	18	569
32	19	567
33	19	565
34	20	563
35	20	561
36	21	561
37	22	560
38	22	559
39	23	558
40	23	558
41	24	557
42	24	555
43	25	558
44	26	560
45	26	559
46	27	558
47	28	556
48	28	555
49	29	554
50	29	554
51	30	552
52	30	551
53	31	549
54	31	548
55	32	547
56	33	546
57	33	545
58	34	543
59	34	545
60	35	544
61	35	543
62	36	542
63	37	542
64	37	542
65	38	541
66	38	540
67	39	539
68	39	539
69	40	537
70	41	536
71	41	535
72	42	534
73	42	533
74	43	532
75	43	532
76	44	531
77	44	530
78	45	529
79	45	528
80	46	527
81	46	526
82	47	522
83	47	521
84	48	521
85	49	520
86	49	519
87	50	519
88	50	518
89	51	518
90	51	517
91	52	516
92	53	517
93	53	516
94	54	515
95	54	514
96	55	513
97	55	512
98	56	511
99	56	510
100	57	511
101	57	510
102	58	509
103	59	508
104	59	508
105	60	507
106	60	506
107	61	505
108	61	505
109	62	505
110	63	505
111	63	505
112	64	504
113	64	504
114	65	504
115	66	504
116	66	503
117	67	502
118	67	501
119	68	500
120	68	499
121	69	498
122	69	497
123	70	496
124	70	496
125	71	496
126	71	494
127	72	494
128	73	493
129	73	492
130	74	491
131	74	491
132	75	490
133	76	491
134	76	490
135	77	491
136	77	490
137	78	489
138	79	489
139	79	489
140	80	488
141	80	487
142	81	486
143	81	486
144	82	485
145	82	484
146	83	484
147	83	483
148	84	482
149	85	482
150	85	481
151	86	480
152	86	479
153	87	479
154	87	479
155	88	479
156	89	478
157	89	478
158	90	477
159	90	477
160	91	475
161	91	475
162	92	474
163	93	474
164	93	473
165	94	473
166	94	472
167	95	471
168	95	471
169	96	470
170	96	470
171	97	469
172	98	469
173	98	468
174	99	467
