iter	Passed	Remaining
0	1	1399
1	2	1155
2	3	1141
3	4	1170
4	5	1173
5	7	1168
6	8	1164
7	9	1158
8	11	1230
9	12	1235
10	13	1229
11	15	1237
12	16	1230
13	17	1222
14	18	1241
15	20	1234
16	21	1233
17	22	1228
18	23	1230
19	25	1269
20	27	1269
21	28	1263
22	29	1256
23	30	1247
24	31	1243
25	32	1235
26	34	1227
27	35	1218
28	36	1211
29	37	1199
30	38	1193
31	39	1191
32	40	1189
33	41	1188
34	42	1185
35	44	1182
36	45	1181
37	46	1175
38	47	1167
39	48	1166
40	49	1165
41	50	1163
42	52	1160
43	53	1161
44	54	1159
45	56	1168
46	57	1167
47	58	1166
48	59	1163
49	61	1159
50	62	1155
51	63	1151
52	64	1147
53	65	1143
54	66	1139
55	67	1136
56	68	1133
57	69	1130
58	70	1128
59	71	1126
60	73	1123
61	74	1120
62	75	1116
63	76	1114
64	77	1111
65	78	1109
66	79	1107
67	80	1103
68	81	1096
69	82	1094
70	83	1093
71	84	1091
72	85	1088
73	86	1087
74	87	1079
75	88	1078
76	89	1076
77	90	1074
78	92	1073
79	93	1071
80	94	1069
81	95	1067
82	96	1066
83	97	1066
84	98	1065
85	100	1063
86	101	1062
87	102	1060
88	103	1059
89	104	1057
90	105	1055
91	106	1053
92	107	1051
93	108	1049
94	109	1046
95	110	1045
96	112	1043
97	113	1041
98	114	1040
99	115	1038
100	116	1036
101	117	1034
102	118	1030
103	119	1028
104	120	1026
105	121	1022
106	122	1020
107	123	1018
108	124	1016
109	125	1012
110	126	1011
111	127	1011
112	128	1009
113	129	1007
114	130	1006
115	131	1004
116	132	1002
117	133	1000
118	134	999
119	136	997
120	136	993
121	137	991
122	138	989
123	139	988
124	141	987
125	142	988
126	143	987
127	144	985
128	145	983
129	146	982
130	147	980
131	148	978
132	149	976
133	150	975
134	151	973
135	152	971
136	154	970
137	155	970
138	156	969
139	157	967
140	158	966
141	159	965
142	160	963
143	161	961
144	162	960
145	163	958
146	164	957
147	166	956
148	167	954
149	168	953
150	169	953
151	170	952
152	171	950
153	172	949
154	173	947
155	174	943
156	175	942
157	176	941
158	177	939
159	178	938
160	180	939
161	181	941
162	184	945
163	185	944
164	186	942
165	187	941
166	188	939
167	189	938
168	190	936
169	191	935
170	192	933
171	193	933
172	195	932
173	196	931
174	197	932
175	198	931
176	200	930
177	201	928
178	202	927
179	203	925
180	204	924
181	205	923
182	206	921
183	207	920
184	208	919
185	209	918
186	211	917
187	212	919
188	214	919
189	215	918
190	216	917
191	217	916
192	218	915
193	220	914
194	221	912
195	222	911
196	223	909
197	224	907
198	225	907
199	226	906
200	227	905
201	228	904
202	230	903
203	231	902
204	232	901
205	233	899
206	234	898
207	235	897
208	236	895
209	237	894
210	238	892
211	240	892
212	241	892
213	242	891
214	243	890
215	244	888
216	245	887
217	246	885
218	247	884
219	249	882
220	250	881
221	251	880
222	252	878
223	253	877
224	254	877
225	256	877
226	257	875
227	258	874
228	259	873
229	260	872
230	261	871
231	262	869
232	263	868
233	264	866
234	265	865
235	266	864
236	268	862
237	269	862
238	270	861
239	271	859
240	272	858
241	273	857
242	274	855
243	275	854
244	276	853
245	277	851
246	279	850
247	280	849
248	281	848
249	282	846
250	283	845
251	284	844
252	285	843
253	286	842
254	287	840
255	288	839
256	289	838
257	291	836
258	292	835
259	293	833
260	294	832
261	295	831
262	296	829
263	297	828
264	298	827
265	299	826
266	300	825
267	301	824
268	302	822
269	303	821
270	304	819
271	305	818
272	306	817
273	307	815
274	308	814
275	310	813
276	311	811
277	312	810
278	313	809
279	314	808
280	315	807
281	316	805
282	317	804
283	318	803
284	319	801
285	320	800
286	321	799
287	322	797
288	323	796
289	324	795
290	325	793
291	327	793
292	328	792
293	329	791
294	330	790
295	331	788
296	332	787
297	333	786
298	334	785
299	335	783
300	336	782
301	337	781
302	339	779
303	340	778
304	342	779
305	343	779
306	344	778
307	346	777
308	347	777
309	348	776
310	350	775
311	351	774
312	352	773
313	353	772
314	356	775
315	358	775
316	359	773
317	360	772
318	361	771
319	362	769
320	363	768
321	364	767
322	365	765
323	366	764
324	367	763
325	369	764
326	371	764
327	372	763
328	373	761
329	374	760
330	375	759
331	376	758
332	377	756
333	378	755
334	379	754
335	381	753
336	382	751
337	383	750
338	384	749
339	385	748
340	386	747
341	387	745
342	388	744
343	389	743
344	390	741
345	391	740
346	392	739
347	393	738
348	395	737
349	396	735
350	397	734
351	398	733
352	399	732
353	401	731
354	402	730
355	403	729
356	404	728
357	405	726
358	406	725
359	407	724
360	408	723
361	409	722
362	411	721
363	412	720
364	413	720
365	415	719
366	416	717
367	417	716
368	418	715
369	419	714
370	420	712
371	421	711
372	422	710
373	423	709
374	424	708
375	425	706
376	427	705
377	428	704
378	429	703
379	430	702
380	431	700
381	432	699
382	433	698
383	434	697
384	435	696
385	436	694
386	437	693
387	438	692
388	439	691
389	441	689
390	442	688
391	443	687
392	444	686
393	445	685
394	446	684
395	447	682
396	448	681
397	449	680
398	451	679
399	452	678
400	453	676
401	454	675
402	455	674
403	456	673
404	457	672
405	458	671
406	459	669
407	460	668
408	461	667
409	462	666
410	464	665
411	465	663
412	466	662
413	467	661
414	468	660
415	469	659
416	470	657
417	471	656
418	472	655
419	473	654
420	474	653
421	476	652
422	477	650
423	478	649
424	479	648
425	480	647
426	481	645
427	482	644
428	483	643
429	484	642
430	485	641
431	486	640
432	487	638
433	489	637
434	490	636
435	491	635
436	492	634
437	493	632
438	494	631
439	495	630
440	496	629
441	497	627
442	498	626
443	499	625
444	500	624
445	501	623
446	502	622
447	503	620
448	504	619
449	505	618
450	506	617
451	508	615
452	509	614
453	510	613
454	511	612
455	512	611
456	513	610
457	514	608
458	515	607
459	516	606
460	517	605
461	518	604
462	519	603
463	520	601
464	522	600
465	523	599
466	524	598
467	525	597
468	526	595
469	527	594
470	528	593
471	529	592
472	530	591
473	531	590
474	532	588
475	533	587
476	534	586
477	535	585
478	537	584
479	538	582
480	539	581
481	540	580
482	541	579
483	543	578
484	544	578
485	545	577
486	547	576
487	548	575
488	549	573
489	550	572
490	551	571
491	552	570
492	553	569
493	554	568
494	556	567
495	557	566
496	558	565
497	559	563
498	560	562
499	561	561
500	562	560
501	563	559
502	564	557
503	565	556
504	566	555
505	567	554
506	568	553
507	569	551
508	571	550
509	572	549
510	573	548
511	574	547
512	575	546
513	576	544
514	577	543
515	578	542
516	579	541
517	580	540
518	581	539
519	582	538
520	584	537
521	585	535
522	586	534
523	587	533
524	588	532
525	589	531
526	590	530
527	591	528
528	592	527
529	594	526
530	595	525
531	596	524
532	597	523
533	598	522
534	599	521
535	600	519
536	601	518
537	602	517
538	603	516
539	604	515
540	605	514
541	607	512
542	608	511
543	609	510
544	610	509
545	611	508
546	612	507
547	613	506
548	614	505
549	615	503
550	616	502
551	617	501
552	618	500
553	620	499
554	621	498
555	622	496
556	623	495
557	624	494
558	625	493
559	626	492
560	627	491
561	629	490
562	630	489
563	631	487
564	632	486
565	633	485
566	634	484
567	635	483
568	636	482
569	637	480
570	638	479
571	639	478
572	640	477
573	641	476
574	643	475
575	644	474
576	645	472
577	646	471
578	647	470
579	648	469
580	649	468
581	650	467
582	651	465
583	652	464
584	653	463
585	654	462
586	655	461
587	657	460
588	658	459
589	659	458
590	660	456
591	661	455
592	662	454
593	663	453
594	664	452
595	665	451
596	666	450
597	667	448
598	668	447
599	669	446
600	670	445
601	672	444
602	673	443
603	674	442
604	675	440
605	676	439
606	677	438
607	678	437
608	679	436
609	680	435
610	681	434
611	682	432
612	683	431
613	685	430
614	686	429
615	687	428
616	688	427
617	689	426
618	690	425
619	691	423
620	692	422
